"","treatment","fragment.ID","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","C","K20Ca",0.50166088275,8,0.0821126070199131,-0.5119008675,0.0244578243852441,1.01356175025,0.0999358580041794,28.2854930875,0.0185013138780662
"2","C","K20Cb",0.319448716,8,0.090115702946063,-0.358306349625,0.0131257472820251,0.677755065625,0.0883430333635691,28.490348075625,0.0192910106350494
"3","C","K20Cc",0.49730671825,8,0.0932961423327087,-0.49056013625,0.0134400481797116,0.9878668545,0.0984896246363809,28.4048750125,0.0418598388205732
"4","C","K20Cd",0.455915181625,8,0.0780608228725331,-0.4709662795,0.0216687951776751,0.926881461125,0.08984722347197,28.548153453125,0.0131326314775976
"5","C","M50Ca",0.47333606025,8,0.0941500154623183,-0.532478201125,0.0385307563337426,1.005814261375,0.117443786439562,30.0454531375,0.0278596369308458
"6","C","M50Cb",0.43187064775,8,0.0979700774147111,-0.5292937715,0.0295840195715919,0.96116441925,0.124547559678208,30.01990838,0.0181063884929257
"7","C","M50Cc",0.403656789375,8,0.107752176780881,-0.47587439175,0.0313472404445374,0.879531181125,0.131744660318388,31.332917124375,0.0301295956285238
"8","C","M50Cd",1.637630869375,8,0.444638616867856,-2.064526807,0.112990718580005,3.702157676375,0.519208864652025,31.392153114375,0.0190867308707092
"9","C","M60Ca",0.39400219375,8,0.107895150466033,-0.40098856075,0.0175695079716232,0.7949907545,0.123057483883691,33.184733748125,0.0197285635824901
"10","C","M60Cb",0.397003259,8,0.0788055630500922,-0.393861790625,0.0299888438008824,0.790865049625,0.0968709552215333,33.177314443125,0.0225558457854497
"11","C","M60Cc",0.342679464125,8,0.0979125058634827,-0.398884759625,0.0165155863946314,0.74156422375,0.103637520910029,33.083628404375,0.0273935892184142
"12","C","M60Cd",0.39579263175,8,0.0915875462881823,-0.410068633125,0.0219976289916586,0.805861264875,0.107413815660001,33.136591191875,0.0259757235026198
"13","T1","K201a",0.513774000625,8,0.0923410338565099,-0.49474562975,0.0178618566636295,1.008519630375,0.0964236010666885,26.404839953125,0.0222896867583248
"14","T1","K201b",0.522242085875,8,0.0518884984626516,-0.47010166875,0.0157290786932788,0.992343754625,0.0632160151194419,26.363568046875,0.0326987955969695
"15","T1","K201c",0.496454432375,8,0.114292029033971,-0.466359056125,0.0204475668365521,0.9628134885,0.12576001538087,26.352128168125,0.0269316193594359
"16","T1","K201d",0.570427381375,8,0.0730209915022301,-0.470488813,0.0281466730563363,1.040916194375,0.0888471822960345,26.384832978125,0.0251345114927273
"17","T1","M501a",0.4048960895,8,0.0964731667251765,-0.472986514875,0.0217246740447677,0.877882604375,0.111923099657837,28.32162451,0.0147423480983384
"18","T1","M501b",0.41775322675,8,0.0933778348949121,-0.483036719,0.0285491835983653,0.90078994575,0.102826152741011,28.206926226875,0.0192331393241205
"19","T1","M501c",0.482330359875,8,0.0821528006010754,-0.499894262625,0.0151645542934434,0.9822246225,0.0935169470356874,29.074829305,0.0283561283939937
"20","T1","M501d",0.425266182625,8,0.0850782109541376,-0.50648292525,0.0273344302694827,0.931749107875,0.101950545075342,29.40582509,0.0219350571587239
"21","T1","M601a",0.537169706875,8,0.0811300283071382,-0.43092094175,0.0234368550389038,0.968090648625,0.0975908267371586,31.338079058125,0.0201760915294235
"22","T1","M601b",0.575923282875,8,0.132877496936,-0.5255997725,0.0208807686070089,1.101523055375,0.148999904735817,31.2830840225,0.0217322096124049
"23","T1","M601c",0.472502479625,8,0.0997991068795443,-0.45557709175,0.0417349345105828,0.928079571375,0.123012315942604,31.33012742375,0.0253636647826623
"24","T1","M601d",0.457509205,8,0.0859616837611659,-0.388826823625,0.0272216781476132,0.846336028625,0.10150379113541,31.315321454375,0.0202129301114465
"25","T2","K202a",0.538309736875,8,0.0867435157290291,-0.513079273375,0.0235917574624085,1.05138901025,0.0995419252952263,26.39394031375,0.0186007570723955
"26","T2","K202b",0.383437883875,8,0.0838555272741509,-0.403750263375,0.0198796905347404,0.78718814725,0.0921825390877396,26.353267390625,0.0194113574867925
"27","T2","K202c",0.48095032325,8,0.0632315763721517,-0.4377155715,0.0231675250571698,0.91866589475,0.078370892063225,27.1375106275,0.0165979216611417
"28","T2","K202d",0.498577898625,8,0.0975037394762319,-0.499980753375,0.0219797200609964,0.998558652,0.104773074909038,27.121734071875,0.0303410243549083
"29","T2","M502a",0.356063795875,8,0.0871600491890631,-0.5090805645,0.0366253136319463,0.865144360375,0.117073665441985,29.306760703125,0.0160190894081799
"30","T2","M502b",0.357844699125,8,0.0934221628072634,-0.4599007985,0.0263434347117164,0.817745497625,0.1069736516827,29.311074541875,0.0197980716516492
"31","T2","M502c",0.3200528315,8,0.0861361322167962,-0.401126181125,0.0226209714471021,0.721179012625,0.100975704439938,29.248546114375,0.0183480814801122
"32","T2","M502d",0.389434729125,8,0.0841453305124426,-0.45207899225,0.0313795546952865,0.841513721375,0.108610642463996,29.42180793,0.023090120436263
"33","T2","M602a",0.353592529625,8,0.0970982012508093,-0.407482103125,0.0192623305029933,0.76107463275,0.111764795861319,32.487003524375,0.0248345921627251
