"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","NP","R","GP"
"1",26.411042815,27,2706,"T1","K2","K201a","K201",0.520482356,-0.424067001,0.944549357
"2",26.285931415,28,2801,"T1","K2","K201a","K201",0.60623535,-0.473975972,1.080211322
"3",26.442051465,29,2903,"T1","K2","K201a","K201",0.79965963,-0.450002316,1.249661946
"4",26.34798866,30,3004,"T1","K2","K201a","K201",0.394626224,-0.523097009,0.917723233
"5",26.40792688,31,3106,"T1","K2","K201a","K201",0.435968512,-0.476526511,0.912495023
"6",26.495725565,32,3202,"T1","K2","K201a","K201",0.822977388,-0.575194017,1.398171405
"7",26.427346165,33,3303,"T1","K2","K201a","K201",0.536844339,-0.547466828,1.084311167
"8",26.42070666,34,3405,"T1","K2","K201a","K201",-0.006601794,-0.487635384,0.48103359
"9",26.418751425,27,2703,"T1","K2","K201b","K201",0.481147207,-0.440743931,0.921891138
"10",26.454835115,28,2805,"T1","K2","K201b","K201",0.457487706,-0.443637932,0.901125638
"11",26.296779,29,2906,"T1","K2","K201b","K201",0.427055455,-0.394691561,0.821747016
"12",26.486800255,30,3002,"T1","K2","K201b","K201",0.59897396,-0.505252,1.10422596
"13",26.35641924,31,3104,"T1","K2","K201b","K201",0.708926433,-0.530401043,1.239327476
"14",26.23352487,32,3205,"T1","K2","K201b","K201",0.546302922,-0.461092488,1.00739541
"15",26.40047864,33,3301,"T1","K2","K201b","K201",0.692069748,-0.510523342,1.20259309
"16",26.26095583,34,3402,"T1","K2","K201b","K201",0.265973256,-0.474471053,0.740444309
"17",26.396846925,27,2701,"T1","K2","K201c","K201",0.583397576,-0.406892379,0.990289955
"18",26.40850227,28,2803,"T1","K2","K201c","K201",0.639783272,-0.413620773,1.053404045
"19",26.28914571,29,2904,"T1","K2","K201c","K201",0.756835841,-0.463098913,1.219934754
"20",26.22156436,30,3006,"T1","K2","K201c","K201",0.116186128,-0.462109893,0.578296021
"21",26.32101657,31,3102,"T1","K2","K201c","K201",0.812877518,-0.561775774,1.374653292
"22",26.438263855,32,3203,"T1","K2","K201c","K201",0.756212139,-0.534684648,1.290896787
"23",26.31917945,33,3305,"T1","K2","K201c","K201",0.362600103,-0.478444158,0.841044261
"24",26.422506205,34,3406,"T1","K2","K201c","K201",-0.056257118,-0.410245911,0.353988793
"25",26.425956665,27,2704,"T1","K2","K201d","K201",0.447177564,-0.394142849,0.841320413
"26",26.424582585,28,2805,"T1","K2","K201d","K201",0.514310567,-0.482680592,0.996991159
"27",26.464896135,29,2901,"T1","K2","K201d","K201",0.813589139,-0.508805347,1.322394486
"28",26.344990565,30,3002,"T1","K2","K201d","K201",0.686552121,-0.34841087,1.034962991
"29",26.33136031,31,3104,"T1","K2","K201d","K201",0.759243396,-0.566082748,1.325326144
"30",26.34300791,32,3206,"T1","K2","K201d","K201",0.338141485,-0.498594861,0.836736346
"31",26.469831565,33,3301,"T1","K2","K201d","K201",0.735361045,-0.559392766,1.294753811
