"","genotype","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","K2",0.371689110302467,128,0.0161003581723294,0.380097332589776,0.00434624573841256,0.649667529961181,0.0136941260944603,27.1926913433984,0.0711426506428511
"2","M5",0.344582784078834,128,0.0239732168267502,0.430870569640678,0.0165945266855953,0.663900993951011,0.0252982781355383,29.7735177807422,0.0786728997874451
"3","M6",0.32978667733808,128,0.0178104408059335,0.352154407978822,0.00467675598983886,0.595223562907749,0.0159112781489148,32.4200813547656,0.0625712057922049
