"","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","C",0.371930452287185,96,0.030209868744855,0.433140055360859,0.0221224407405921,0.685125623633235,0.0322724939985444,30.7584640977083,0.201575081694327
"2","T1",0.382925365718054,96,0.0186202586350028,0.385362757474783,0.00529814917606795,0.662154633501678,0.0159877787624399,28.8150988530729,0.209220620697782
"3","T2",0.318390827896701,96,0.019697469776162,0.368636056313307,0.00534880317560684,0.599763765963021,0.0173287294769641,29.5088720553646,0.240344731587998
"4","T3",0.321498116390569,96,0.0195381026081275,0.363690877796754,0.00551720686746794,0.598012092661988,0.0174402314805709,30.0992856323958,0.234339128664716
