"","treatment","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","C",0.520858617833333,96,0.0549997766310761,-0.58647587903125,0.0473647331593303,1.10733449686458,0.0949122136738152,30.7584640977083,0.201575081694327
"2","T1",0.489687369447917,96,0.0257910753405295,-0.47208501825,0.00766378154617815,0.961772387697917,0.0297697187217886,28.8150988530729,0.209220620697782
"3","T2",0.398802138666667,96,0.0249999439328869,-0.447740082895833,0.00782373549739831,0.8465422215625,0.0297491408899902,29.5088720553646,0.240344731587998
"4","T3",0.403138303072917,96,0.0254538520988816,-0.440711344364583,0.00795509705733015,0.8438496474375,0.0302969550646784,30.0992856323958,0.234339128664716
