"","Temp.C","temp.Cat","trial","treatment","genotype","fragment.ID","individual.ID","rate.type","umol.cm2.hr","log.rate","K"
"1",26.411042815,"27",2706,"T1","K2","K201a","K201","GP",0.944549357,0.6650302571663,299.561042815
"2",26.285931415,"28",2801,"T1","K2","K201a","K201","GP",1.080211322,0.732469485667974,299.435931415
"3",26.442051465,"29",2903,"T1","K2","K201a","K201","GP",1.249661946,0.810779958706012,299.592051465
"4",26.34798866,"30",3004,"T1","K2","K201a","K201","GP",0.917723233,0.651138666257581,299.49798866
"5",26.40792688,"31",3106,"T1","K2","K201a","K201","GP",0.912495023,0.648408684362227,299.55792688
"6",26.495725565,"32",3202,"T1","K2","K201a","K201","GP",1.398171405,0.874706532366132,299.645725565
"7",26.427346165,"33",3303,"T1","K2","K201a","K201","GP",1.084311167,0.734438425125175,299.577346165
"8",26.42070666,"34",3405,"T1","K2","K201a","K201","GP",0.48103359,0.392740215649662,299.57070666
"9",26.418751425,"27",2703,"T1","K2","K201b","K201","GP",0.921891138,0.653309668985621,299.568751425
"10",26.454835115,"28",2805,"T1","K2","K201b","K201","GP",0.901125638,0.642446151801108,299.604835115
"11",26.296779,"29",2906,"T1","K2","K201b","K201","GP",0.821747016,0.599795939581459,299.446779
"12",26.486800255,"30",3002,"T1","K2","K201b","K201","GP",1.10422596,0.743947684546249,299.636800255
"13",26.35641924,"31",3104,"T1","K2","K201b","K201","GP",1.239327476,0.806175586859148,299.50641924
"14",26.23352487,"32",3205,"T1","K2","K201b","K201","GP",1.00739541,0.696838065855146,299.38352487
"15",26.40047864,"33",3301,"T1","K2","K201b","K201","GP",1.20259309,0.789635343542296,299.55047864
"16",26.26095583,"34",3402,"T1","K2","K201b","K201","GP",0.740444309,0.554140430630175,299.41095583
"17",26.396846925,"27",2701,"T1","K2","K201c","K201","GP",0.990289955,0.688280334152459,299.546846925
"18",26.40850227,"28",2803,"T1","K2","K201c","K201","GP",1.053404045,0.719498925784361,299.55850227
"19",26.28914571,"29",2904,"T1","K2","K201c","K201","GP",1.219934754,0.797477805362201,299.43914571
