"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"1","Blk1_2701",162.773316148867,-0.0001284344193501,26.3472138225476
"2","Blk1_2701D",162.538884005612,-0.000446847740420647,26.387263982732
"3","Blk1_2702",165.467035023373,-7.29889239962098e-05,26.4020678466221
"4","Blk1_2702D",165.218132565324,-0.000345449747149117,26.4026499359641
"5","Blk1_2703",150.226146002237,-0.000464650085317417,26.399620958132
"6","Blk1_2703D",149.750693454564,-0.000527145626703263,26.3615107739592
"7","Blk1_2704",161.263360107552,-0.000497897566321875,26.3253003980528
"8","Blk1_2704D",160.771279285246,-0.000618114660912795,26.3039249633298
"9","Blk1_2705",156.23501140922,-0.000784819162662823,26.420826783074
"10","Blk1_2705D",155.446485052094,-0.000569070837988728,26.3866896666147
"11","Blk1_2706",146.513075491893,-0.000661379234096819,26.3525212834462
"12","Blk1_2706D",145.859448758488,-0.000580975981139814,26.3229125065413
"13","Blk1_2801",197.084118152504,-0.000388424624426542,27.1063212201089
"14","Blk1_2801D",196.85087868714,-0.000361785202219813,27.063356637466
"15","Blk1_2802",188.345027671377,-0.000559835586935158,26.9411306545796
"16","Blk1_2802D",187.72535563254,-0.000673596196839845,27.0293169707044
"17","Blk1_2803",188.411070939171,-0.000823438516583941,27.1529609861822
"18","Blk1_2803D",187.405301138749,-0.000886163311042783,27.1610462632359
"19","Blk1_2804",180.519045585069,-0.00123957362983847,27.1687191216668
"20","Blk1_2804D",179.129656968722,-0.00109024340276703,27.1223163855737
"21","Blk1_2805",169.788310630513,-0.00128337935096964,27.2015415399695
"22","Blk1_2805D",168.039276439491,-0.00135180799181339,27.1993537147748
"23","Blk1_2806",167.240683533445,-0.00175476750610501,27.2799103903146
"24","Blk1_2806D",165.214162553427,-0.0016287885526913,27.1978758994088
"25","Blk1_2901",202.024550656707,9.96198744812875e-05,28.362045294073
"26","Blk1_2901D",202.230492665346,-6.72676686576887e-05,28.2337364922642
"27","Blk1_2902",182.149896297816,-5.94424553334124e-05,28.4871304908697
"28","Blk1_2902D",182.047397627363,-4.55340480319071e-06,28.4664267463987
"29","Blk1_2903",201.867371485822,-0.000170795453949498,28.4077935036734
"30","Blk1_2903D",201.5353865811,-0.000108121631935686,28.3218314993317
"31","Blk1_2904",190.64562940462,-0.000302458412578584,28.6281192571915
"32","Blk1_2904D",190.273782231927,-0.000303381488593587,28.4692890807077
"33","Blk1_2905",173.086111904668,-0.00342980233426731,28.5909149290211
"34","Blk1_2905D",169.123593049979,-0.00143042155066703,28.4539483299658
"35","Blk1_2906",163.709711312446,-0.00174394339921998,28.2187755986689
"36","Blk1_2906D",161.794539554589,-0.00169366003038566,28.2255100460794
"37","Blk1_3001",181.080621184887,-0.00235092988390775,28.7491274968965
"38","Blk1_3001D",178.559393419382,-0.00256302949672019,28.8988286020085
"39","Blk1_3002",167.272580089071,-0.00316581705498258,29.4321493051856
"40","Blk1_3002D",163.602393232048,-0.00301883520939337,29.4053352579145
"41","Blk1_3003",151.512230205168,-0.00335336354294911,29.365038798689
"42","Blk1_3003D",147.835419229392,-0.00319435392381807,29.3871010308652
"43","Blk1_3004",132.220657463086,-0.00337122842267219,29.2454234756821
"44","Blk1_3004D",136.098594399522,-0.00353079709957632,29.1604231538628
"45","Blk1_3005",123.304388640711,-0.00385968583430027,29.138505926093
"46","Blk1_3005D",119.098919247812,-0.00368934557681615,29.16360387088
"47","Blk1_3006",155.399043891488,-0.00131729411015444,29.4212171393054
"48","Blk1_3006D",153.993392037965,-0.00114614781842155,29.3226687270649
"49","Blk1_3101",182.163890964475,-0.00107007632899368,30.3111519550656
"50","Blk1_3101D",180.993529923269,-0.00152836452597789,30.3296628256103
"51","Blk1_3102",164.454608832716,-0.00151792516417795,30.3775172717945
"52","Blk1_3102D",162.686858752371,-0.00178097255414344,30.4572512214248
"53","Blk1_3103",150.807481248317,-0.00164722336815016,30.4464759575284
"54","Blk1_3103D",148.899042544098,-0.00160283704427068,30.3660712027638
"55","Blk1_3104",144.408006290374,-0.00198935783202621,30.0978354752448
"56","Blk1_3104D",142.059532441599,-0.00187966162487683,30.1210570300101
"57","Blk1_3105",143.097580077085,-0.0024021331819055,29.9219118649634
"58","Blk1_3105D",140.588055809472,-0.00176617996241901,30.0718046873127
"59","Blk1_3106",134.276850283046,-0.00283079262755475,29.7964579847757
"60","Blk1_3106D",130.72741138931,-0.00272860693249418,29.8979411777118
"61","Blk1_3201",167.217600406935,-0.00119795326617143,31.428392475935
"62","Blk1_3201D",166.022196917087,-0.000877023789945599,31.4040502745929
"63","Blk1_3202",154.759042650938,-0.00101536961620881,31.2615909432251
"64","Blk1_3202D",153.665995668767,-0.00109054347279966,31.2841955414241
"65","Blk1_3203",150.607926375226,-0.00131525549203484,31.3385545606856
"66","Blk1_3203D",149.309110809408,-0.00107525367847804,31.3840247850666
"67","Blk1_3204",145.181807602964,-0.00281005174153143,31.2416087923455
"68","Blk1_3204D",142.163344088552,-0.00156762460161663,31.3576535412589
"69","Blk1_3205",137.640931105938,-0.00356799995326943,31.410735438506
"70","Blk1_3205D",133.915152427016,-0.00308576165836392,31.4256834911202
"71","Blk1_3206",127.669671406824,-0.00298288486223542,30.9821847178003
"72","Blk1_3206D",124.41817440647,-0.00263941072037022,31.1336709322905
