"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","genotype","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"33","Blk1_2905",173.086111904668,-0.00342980233426731,28.5909149290211,"Blk1","BLANK","2905",29,"light","BLANK",NA,620,0.62,-0.00212647744724573,"1",-0.00149487215639374
"34","Blk1_2905D",169.123593049979,-0.00143042155066703,28.4539483299658,"Blk1","BLANK","2905D",29,"dark","BLANK",NA,620,0.62,-0.000886861361413559,"1",-0.000930057451079428
"35","Blk1_2906",163.709711312446,-0.00174394339921998,28.2187755986689,"Blk1","BLANK","2906",29,"light","BLANK",NA,620,0.62,-0.00108124490751639,"1",-0.00116399261891965
"36","Blk1_2906D",161.794539554589,-0.00169366003038566,28.2255100460794,"Blk1","BLANK","2906D",29,"dark","BLANK",NA,620,0.62,-0.00105006921883911,"1",-0.00109114408591509
"37","Blk1_3001",181.080621184887,-0.00235092988390775,28.7491274968965,"Blk1","BLANK","3001",30,"light","BLANK",NA,620,0.62,-0.0014575765280228,"1",-0.00136760501875597
"38","Blk1_3001D",178.559393419382,-0.00256302949672019,28.8988286020085,"Blk1","BLANK","3001D",30,"dark","BLANK",NA,620,0.62,-0.00158907828796652,"1",-0.00145734177648571
"39","Blk1_3002",167.272580089071,-0.00316581705498258,29.4321493051856,"Blk1","BLANK","3002",30,"light","BLANK",NA,620,0.62,-0.0019628065740892,"1",-0.00185908660598495
"40","Blk1_3002D",163.602393232048,-0.00301883520939337,29.4053352579145,"Blk1","BLANK","3002D",30,"dark","BLANK",NA,620,0.62,-0.00187167782982389,"1",-0.00177111203798876
"41","Blk1_3003",151.512230205168,-0.00335336354294911,29.365038798689,"Blk1","BLANK","3003",30,"light","BLANK",NA,620,0.62,-0.00207908539662845,"1",-0.00198524759884566
"42","Blk1_3003D",147.835419229392,-0.00319435392381807,29.3871010308652,"Blk1","BLANK","3003D",30,"dark","BLANK",NA,620,0.62,-0.00198049943276721,"1",-0.00186499962690864
"43","Blk1_3004",132.220657463086,-0.00337122842267219,29.2454234756821,"Blk1","BLANK","3004",30,"light","BLANK",NA,620,0.62,-0.00209016162205676,"1",-0.00230526694598057
"44","Blk1_3004D",136.098594399522,-0.00353079709957632,29.1604231538628,"Blk1","BLANK","3004D",30,"dark","BLANK",NA,620,0.62,-0.00218909420173732,"1",-0.00219291127549974
"45","Blk1_3005",123.304388640711,-0.00385968583430027,29.138505926093,"Blk1","BLANK","3005",30,"light","BLANK",NA,620,0.62,-0.00239300521726617,"1",-0.00244882350663001
"46","Blk1_3005D",119.098919247812,-0.00368934557681615,29.16360387088,"Blk1","BLANK","3005D",30,"dark","BLANK",NA,620,0.62,-0.00228739425762601,"1",-0.00237600533702276
"47","Blk1_3006",155.399043891488,-0.00131729411015444,29.4212171393054,"Blk1","BLANK","3006",30,"light","BLANK",NA,620,0.62,-0.000816722348295753,"1",-0.000931597916251133
"48","Blk1_3006D",153.993392037965,-0.00114614781842155,29.3226687270649,"Blk1","BLANK","3006D",30,"dark","BLANK",NA,620,0.62,-0.000710611647421359,"1",-0.00082664322546101
"49","Blk1_3101",182.163890964475,-0.00107007632899368,30.3111519550656,"Blk1","BLANK","3101",31,"light","BLANK",NA,620,0.62,-0.000663447323976082,"1",-0.000597733956942075
"50","Blk1_3101D",180.993529923269,-0.00152836452597789,30.3296628256103,"Blk1","BLANK","3101D",31,"dark","BLANK",NA,620,0.62,-0.00094758600610629,"1",-0.000855325944663671
"51","Blk1_3102",164.454608832716,-0.00151792516417795,30.3775172717945,"Blk1","BLANK","3102",31,"light","BLANK",NA,620,0.62,-0.00094111360179033,"1",-0.00102351146105465
"52","Blk1_3102D",162.686858752371,-0.00178097255414344,30.4572512214248,"Blk1","BLANK","3102D",31,"dark","BLANK",NA,620,0.62,-0.00110420298356893,"1",-0.00104742878541714
"53","Blk1_3103",150.807481248317,-0.00164722336815016,30.4464759575284,"Blk1","BLANK","3103",31,"light","BLANK",NA,620,0.62,-0.0010212784882531,"1",-0.00115777987582816
"54","Blk1_3103D",148.899042544098,-0.00160283704427068,30.3660712027638,"Blk1","BLANK","3103D",31,"dark","BLANK",NA,620,0.62,-0.000993758967447824,"1",-0.00107404755255364
"55","Blk1_3104",144.408006290374,-0.00198935783202621,30.0978354752448,"Blk1","BLANK","3104",31,"light","BLANK",NA,620,0.62,-0.00123340185585625,"1",-0.00124662484586452
"56","Blk1_3104D",142.059532441599,-0.00187966162487683,30.1210570300101,"Blk1","BLANK","3104D",31,"dark","BLANK",NA,620,0.62,-0.00116539020742363,"1",-0.00118289294256508
