"","genotype","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","K2",0.472716633484375,128,0.0216063815442788,-0.464181561351563,0.0063632587734654,0.936898194835938,0.0250283450798732,27.1926913433984,0.0711426506428511
"2","M5",0.469321002984375,128,0.0427626695642448,-0.571985102070313,0.0355902904569572,1.04130610505469,0.0728173170139663,29.7735177807422,0.0786728997874451
"3","M6",0.417327185296875,128,0.0232572559891467,-0.424092579984375,0.00660478524159707,0.84141976528125,0.0273991347113671,32.4200813547656,0.0625712057922049
