"","treatment","fragment.ID","Pnet.mean","N","Pnet.se","Rdark.mean","Rdark.se","Pgross.mean","Pgross.se","Temp.mean","Temp.se"
"1","C","K20Ca",0.395074439378168,8,0.0587777515900695,0.412445681933579,0.0162585567969578,0.690737395861028,0.0520463463297769,28.2854930875,0.0185013138780662
"2","C","K20Cb",0.258677222808481,8,0.0751669826343408,0.305905546800189,0.00980124095961387,0.506815321554864,0.0564375411719133,28.490348075625,0.0192910106350494
"3","C","K20Cc",0.38885715372149,8,0.0664899369686253,0.398872187020489,0.00890373958783742,0.678163671354309,0.0508944752804083,28.4048750125,0.0418598388205732
"4","C","K20Cd",0.364098111211462,8,0.0595331047124328,0.385167810731669,0.0146181170448448,0.647303491181068,0.0511827263602971,28.548153453125,0.0131326314775976
"5","C","M50Ca",0.370285084886096,8,0.0737708241546152,0.424656780525347,0.0252943004711831,0.681239326203784,0.0686542331165841,30.0454531375,0.0278596369308458
"6","C","M50Cb",0.339991989272372,8,0.0763680636577642,0.42348309405896,0.0194921971690017,0.657675253983245,0.0692941205511203,30.01990838,0.0181063884929257
"7","C","M50Cc",0.315366803282007,8,0.0853621160806642,0.387632636425332,0.0216337294724744,0.611663290357948,0.0767917127932625,31.332917124375,0.0301295956285238
"8","C","M50Cd",0.810265599065732,8,0.240113055981277,1.114557506756,0.0401894337549866,1.49221426875965,0.13532380474986,31.392153114375,0.0190867308707092
"9","C","M60Ca",0.308928129947639,8,0.083775892930471,0.33661847276311,0.0126982941818528,0.566892522656048,0.0738005627371809,33.184733748125,0.0197285635824901
"10","C","M60Cb",0.322162518503815,8,0.0602956410643577,0.330353723238827,0.0225496640053164,0.570898310492885,0.0602357488472549,33.177314443125,0.0225558457854497
"11","C","M60Cc",0.272808027089192,8,0.0825799015798201,0.33519355279273,0.011696633310182,0.540330756805648,0.0669211199583281,33.083628404375,0.0273935892184142
"12","C","M60Cd",0.316650348279765,8,0.0714123678738205,0.342793671284072,0.015504780349109,0.57757387438834,0.0635056030624963,33.136591191875,0.0259757235026198
"13","T1","K201a",0.399820362648164,8,0.0672715272986376,0.401458657846552,0.0119070873242569,0.688714028162633,0.0508317270900542,26.404839953125,0.0222896867583248
"14","T1","K201b",0.416004048367135,8,0.0348168810172105,0.384928653780306,0.0107446323666421,0.68578610897515,0.0317470947575914,26.363568046875,0.0326987955969695
"15","T1","K201c",0.379642106461965,8,0.084785080706027,0.38210970881456,0.0138250250818874,0.658598187425285,0.0688012085762651,26.352128168125,0.0269316193594359
"16","T1","K201d",0.443526774194603,8,0.0476629902250626,0.384298136761826,0.0193027265966667,0.706674655252552,0.0439875442489932,26.384832978125,0.0251345114927273
